title;phones;city;address;instagram;whatsapp;e-mails;url
БАДЬЯН;+7‒701‒016‒21‒11;almaty;проспект Абылай хана, 46;https://www.instagram.com/badyankz/;https://api.whatsapp.com/send/?phone=77010162111&text=%D0%97%D0%B4%D1%80%D0%B0%D0%B2%D1%81%D1%82%D0%B2%D1%83%D0%B9%D1%82%D0%B5%21%0A%0A%D0%9F%D0%B8%D1%88%D1%83+%D0%B8%D0%B7+%D0%BF%D1%80%D0%B8%D0%BB%D0%BE%D0%B6%D0%B5%D0%BD%D0%B8%D1%8F+2%D0%93%D0%98%D0%A1.%0A%0A&type=phone_number&app_absent=0;badyankz@inbox.ru,badyankz@gmail.com;https://2gis.kz/almaty/search/%D0%BA%D0%B0%D1%84%D0%B5/firm/70000001036681428/76.94056%2C43.264074
WUQQA LOUNGE;+7‒777‒848‒84‒48;almaty;улица Толе би, 65;https://www.instagram.com/wuqqa_lounge/;https://api.whatsapp.com/send/?phone=77778488448&text=%D0%97%D0%B4%D1%80%D0%B0%D0%B2%D1%81%D1%82%D0%B2%D1%83%D0%B9%D1%82%D0%B5%21%0A%0A%D0%9F%D0%B8%D1%88%D1%83+%D0%B8%D0%B7+%D0%BF%D1%80%D0%B8%D0%BB%D0%BE%D0%B6%D0%B5%D0%BD%D0%B8%D1%8F+2%D0%93%D0%98%D0%A1.%0A%0A&type=phone_number&app_absent=0;wuqqa@bk.ru;https://2gis.kz/almaty/search/%D0%BA%D0%B0%D1%84%D0%B5/firm/70000001065275708/76.939263%2C43.254761
LIFE GRILL CAFE;+7 (727) 390‒12‒12,+7‒777‒867‒22‒33;almaty;улица Жазылбека, 20/2;https://www.instagram.com/life_grill_cafe/;https://api.whatsapp.com/send/?phone=77778672233&text=%D0%97%D0%B4%D1%80%D0%B0%D0%B2%D1%81%D1%82%D0%B2%D1%83%D0%B9%D1%82%D0%B5%21%0A%0A%D0%9F%D0%B8%D1%88%D1%83+%D0%B8%D0%B7+%D0%BF%D1%80%D0%B8%D0%BB%D0%BE%D0%B6%D0%B5%D0%BD%D0%B8%D1%8F+2%D0%93%D0%98%D0%A1.%0A%0A&type=phone_number&app_absent=0;lyansvetlana@mail.ru;https://2gis.kz/almaty/search/%D0%BA%D0%B0%D1%84%D0%B5/firm/70000001047201716/76.867057%2C43.202775
ЧАЧАПУРИ;+7 (727) 327‒57‒75,+7‒700‒555‒58‒31;almaty;улица Кастеева, 15;https://www.instagram.com/chachapuri_almaty/;https://api.whatsapp.com/send/?phone=77005555831&text=%D0%97%D0%B4%D1%80%D0%B0%D0%B2%D1%81%D1%82%D0%B2%D1%83%D0%B9%D1%82%D0%B5%21%0A%0A%D0%9F%D0%B8%D1%88%D1%83+%D0%B8%D0%B7+%D0%BF%D1%80%D0%B8%D0%BB%D0%BE%D0%B6%D0%B5%D0%BD%D0%B8%D1%8F+2%D0%93%D0%98%D0%A1.%0A%0A&type=phone_number&app_absent=0;titobrasko@gmail.com;https://2gis.kz/almaty/search/%D0%BA%D0%B0%D1%84%D0%B5/firm/70000001032291570/76.967764%2C43.254604
МАМА GIVI;+7‒747‒214‒88‒88;almaty;улица Яблочная, 19;https://www.instagram.com/mama_givi_almaty/;https://api.whatsapp.com/send/?phone=77472148888&text=%D0%97%D0%B4%D1%80%D0%B0%D0%B2%D1%81%D1%82%D0%B2%D1%83%D0%B9%D1%82%D0%B5%21%0A%0A%D0%9F%D0%B8%D1%88%D1%83+%D0%B8%D0%B7+%D0%BF%D1%80%D0%B8%D0%BB%D0%BE%D0%B6%D0%B5%D0%BD%D0%B8%D1%8F+2%D0%93%D0%98%D0%A1.%0A%0A&type=phone_number&app_absent=0;gulnarau@yandex.ru;https://2gis.kz/almaty/search/%D0%BA%D0%B0%D1%84%D0%B5/firm/70000001057553832/76.971127%2C43.248829
ДАДИАНИ;+7‒771‒487‒13‒13,+7‒771‒333‒38‒11;almaty;улица Кабанбай батыра, 37;https://www.instagram.com/dadiani_almaty/;https://api.whatsapp.com/send/?phone=77714871313&text=%D0%97%D0%B4%D1%80%D0%B0%D0%B2%D1%81%D1%82%D0%B2%D1%83%D0%B9%D1%82%D0%B5%21%0A%0A%D0%9F%D0%B8%D1%88%D1%83+%D0%B8%D0%B7+%D0%BF%D1%80%D0%B8%D0%BB%D0%BE%D0%B6%D0%B5%D0%BD%D0%B8%D1%8F+2%D0%93%D0%98%D0%A1.%0A%0A&type=phone_number&app_absent=0;gulnarau@yandex.ru;https://2gis.kz/almaty/search/%D0%BA%D0%B0%D1%84%D0%B5/firm/70000001030286103/76.963332%2C43.251245
ЛЕТНИЙ ДВОРИК;+7‒747‒391‒01‒97,+7‒747‒331‒34‒51;almaty;улица Розыбакиева, 31/1Б;https://www.instagram.com/letniydvorik.kz/;https://api.whatsapp.com/send/?phone=77473313454&text=%D0%97%D0%B4%D1%80%D0%B0%D0%B2%D1%81%D1%82%D0%B2%D1%83%D0%B9%D1%82%D0%B5%21%0A%0A%D0%9F%D0%B8%D1%88%D1%83+%D0%B8%D0%B7+%D0%BF%D1%80%D0%B8%D0%BB%D0%BE%D0%B6%D0%B5%D0%BD%D0%B8%D1%8F+2%D0%93%D0%98%D0%A1.%0A%0A&type=phone_number&app_absent=0;lyansvetlana@mail.ru;https://2gis.kz/almaty/search/%D0%BA%D0%B0%D1%84%D0%B5/firm/70000001033632023/76.888956%2C43.242285
ТАВЕРНА НА УГЛЯХ;+7‒771‒593‒48‒84,+7‒747‒769‒38‒38;almaty;улица Розыбакиева, 109;https://www.instagram.com/tavernauglyah/;https://api.whatsapp.com/send/?phone=77715934884&text=%D0%97%D0%B4%D1%80%D0%B0%D0%B2%D1%81%D1%82%D0%B2%D1%83%D0%B9%D1%82%D0%B5%21%0A%0A%D0%9F%D0%B8%D1%88%D1%83+%D0%B8%D0%B7+%D0%BF%D1%80%D0%B8%D0%BB%D0%BE%D0%B6%D0%B5%D0%BD%D0%B8%D1%8F+2%D0%93%D0%98%D0%A1.%0A%0A&type=phone_number&app_absent=0;tvn2018@inbox.ru;https://2gis.kz/almaty/search/%D0%BA%D0%B0%D1%84%D0%B5/firm/70000001032307976/76.890754%2C43.229533
КУЛЬДЖА ХОГО;+7‒700‒785‒00‒55,+7‒708‒904‒55‒55;almaty;улица Гоголя, 8;https://www.instagram.com/kuldja_hogo_almaty/;https://api.whatsapp.com/send/?phone=77007850055&text=%D0%97%D0%B4%D1%80%D0%B0%D0%B2%D1%81%D1%82%D0%B2%D1%83%D0%B9%D1%82%D0%B5%21%0A%0A%D0%9F%D0%B8%D1%88%D1%83+%D0%B8%D0%B7+%D0%BF%D1%80%D0%B8%D0%BB%D0%BE%D0%B6%D0%B5%D0%BD%D0%B8%D1%8F+2%D0%93%D0%98%D0%A1.%0A%0A&type=phone_number&app_absent=0;;https://2gis.kz/almaty/search/%D0%BA%D0%B0%D1%84%D0%B5/firm/70000001055863386/76.962785%2C43.261029
УРУМЧИ ХОГО;+7‒747‒883‒43‒98;almaty;улица Розыбакиева, 234;https://www.instagram.com/urumchi.hogo.almaty/;https://api.whatsapp.com/send/?phone=77478834398&text=%D0%97%D0%B4%D1%80%D0%B0%D0%B2%D1%81%D1%82%D0%B2%D1%83%D0%B9%D1%82%D0%B5%21%0A%0A%D0%9F%D0%B8%D1%88%D1%83+%D0%B8%D0%B7+%D0%BF%D1%80%D0%B8%D0%BB%D0%BE%D0%B6%D0%B5%D0%BD%D0%B8%D1%8F+2%D0%93%D0%98%D0%A1.%0A%0A&type=phone_number&app_absent=0;;https://2gis.kz/almaty/search/%D0%BA%D0%B0%D1%84%D0%B5/firm/70000001062569479/76.892456%2C43.220787
TOMYUMBAR;+7‒707‒001‒50‒50;almaty;проспект Сейфуллина, 498;https://www.instagram.com/tomyumbar.almaty/;https://api.whatsapp.com/send/?phone=77070015050&text=%D0%97%D0%B4%D1%80%D0%B0%D0%B2%D1%81%D1%82%D0%B2%D1%83%D0%B9%D1%82%D0%B5%21%0A%0A%D0%9F%D0%B8%D1%88%D1%83+%D0%B8%D0%B7+%D0%BF%D1%80%D0%B8%D0%BB%D0%BE%D0%B6%D0%B5%D0%BD%D0%B8%D1%8F+2%D0%93%D0%98%D0%A1.%0A%0A&type=phone_number&app_absent=0;;https://2gis.kz/almaty/search/%D0%BA%D0%B0%D1%84%D0%B5/page/2/firm/70000001058785497/76.933414%2C43.251769
ЭХО;+7‒778‒479‒30‒30;almaty;улица Наурызбай батыра, 85;;;;https://2gis.kz/almaty/search/%D0%BA%D0%B0%D1%84%D0%B5/page/2/firm/70000001053091278/76.93673%2C43.248943
КУЛЬДЖА ХОГО;+7‒700‒500‒50‒08;almaty;улица Розыбакиева, 33Б;https://www.instagram.com/kuldja_hogo.kz/;https://api.whatsapp.com/send/?phone=77005005008&text=%D0%97%D0%B4%D1%80%D0%B0%D0%B2%D1%81%D1%82%D0%B2%D1%83%D0%B9%D1%82%D0%B5%21%0A%0A%D0%9F%D0%B8%D1%88%D1%83+%D0%B8%D0%B7+%D0%BF%D1%80%D0%B8%D0%BB%D0%BE%D0%B6%D0%B5%D0%BD%D0%B8%D1%8F+2%D0%93%D0%98%D0%A1.%0A%0A&type=phone_number&app_absent=0;;https://2gis.kz/almaty/search/%D0%BA%D0%B0%D1%84%D0%B5/page/2/firm/70000001056395205/76.889131%2C43.241375
MYATA LOUNGE;+7‒701‒777‒17‒52;almaty;улица Ауэзова, 14а;https://www.instagram.com/myata_vyshka/;;;https://2gis.kz/almaty/search/%D0%BA%D0%B0%D1%84%D0%B5/page/2/firm/70000001041444514/76.902611%2C43.253558
ШАШЛЫК МАШЛЫК;+7‒702‒222‒24‒88,+7‒702‒222‒29‒20;almaty;улица Богенбай батыра, 61;https://www.instagram.com/shashlik_mashlik_almaty/;https://api.whatsapp.com/send/?phone=77022222488&text=%D0%97%D0%B4%D1%80%D0%B0%D0%B2%D1%81%D1%82%D0%B2%D1%83%D0%B9%D1%82%D0%B5%21%0A%0A%D0%9F%D0%B8%D1%88%D1%83+%D0%B8%D0%B7+%D0%BF%D1%80%D0%B8%D0%BB%D0%BE%D0%B6%D0%B5%D0%BD%D0%B8%D1%8F+2%D0%93%D0%98%D0%A1.%0A%0A&type=phone_number&app_absent=0;www.tiktok.com,qost70@mail.ru;https://2gis.kz/almaty/search/%D0%BA%D0%B0%D1%84%D0%B5/page/2/firm/70000001062363701/76.962934%2C43.25451
DEL CAPPUCCINO;+7‒700‒336‒61‒41;almaty;улица Толе би, 64;https://www.instagram.com/del.cappuccino/;https://api.whatsapp.com/send/?phone=77003366141&text=%D0%97%D0%B4%D1%80%D0%B0%D0%B2%D1%81%D1%82%D0%B2%D1%83%D0%B9%D1%82%D0%B5%21%0A%0A%D0%9F%D0%B8%D1%88%D1%83+%D0%B8%D0%B7+%D0%BF%D1%80%D0%B8%D0%BB%D0%BE%D0%B6%D0%B5%D0%BD%D0%B8%D1%8F+2%D0%93%D0%98%D0%A1.%0A%0A&type=phone_number&app_absent=0;koshkarov@gmail.com;https://2gis.kz/almaty/search/%D0%BA%D0%B0%D1%84%D0%B5/page/2/firm/70000001054834712/76.945836%2C43.254726
KIM CHI;+7‒775‒888‒00‒49;almaty;улица Кабанбай батыра, 140;https://www.instagram.com/kimchi.kalinina/;https://api.whatsapp.com/send/?phone=77758880049&text=%D0%97%D0%B4%D1%80%D0%B0%D0%B2%D1%81%D1%82%D0%B2%D1%83%D0%B9%D1%82%D0%B5%21%0A%0A%D0%9F%D0%B8%D1%88%D1%83+%D0%B8%D0%B7+%D0%BF%D1%80%D0%B8%D0%BB%D0%BE%D0%B6%D0%B5%D0%BD%D0%B8%D1%8F+2%D0%93%D0%98%D0%A1.%0A%0A&type=phone_number&app_absent=0;;https://2gis.kz/almaty/search/%D0%BA%D0%B0%D1%84%D0%B5/page/2/firm/70000001057626072/76.932694%2C43.24865
VILKA;+7‒707‒339‒40‒49,+7‒707‒771‒12‒82;almaty;улица Казыбек би, 105;https://www.instagram.com/vilka.cafe/;;www.vilka.kz;https://2gis.kz/almaty/search/%D0%BA%D0%B0%D1%84%D0%B5/page/2/firm/70000001026518282/76.934199%2C43.255998
AVENUE;+7‒700‒979‒79‒00;almaty;улица Мынбаева, 53;https://www.instagram.com/avenue_almaty/;https://api.whatsapp.com/send/?phone=77019797921&text=%D0%97%D0%B4%D1%80%D0%B0%D0%B2%D1%81%D1%82%D0%B2%D1%83%D0%B9%D1%82%D0%B5%21%0A%0A%D0%9F%D0%B8%D1%88%D1%83+%D0%B8%D0%B7+%D0%BF%D1%80%D0%B8%D0%BB%D0%BE%D0%B6%D0%B5%D0%BD%D0%B8%D1%8F+2%D0%93%D0%98%D0%A1.%0A%0A&type=phone_number&app_absent=0;avenue_club@bk.ru;https://2gis.kz/almaty/search/%D0%BA%D0%B0%D1%84%D0%B5/page/2/firm/9429940001071986/76.902776%2C43.237634
DOSE;+7‒771‒444‒58‒28;almaty;улица Толе би, 50-54;https://www.instagram.com/dose_almaty/;https://api.whatsapp.com/send/?phone=77714445828&text=%D0%97%D0%B4%D1%80%D0%B0%D0%B2%D1%81%D1%82%D0%B2%D1%83%D0%B9%D1%82%D0%B5%21%0A%0A%D0%9F%D0%B8%D1%88%D1%83+%D0%B8%D0%B7+%D0%BF%D1%80%D0%B8%D0%BB%D0%BE%D0%B6%D0%B5%D0%BD%D0%B8%D1%8F+2%D0%93%D0%98%D0%A1.%0A%0A&type=phone_number&app_absent=0;;https://2gis.kz/almaty/search/%D0%BA%D0%B0%D1%84%D0%B5/page/2/firm/70000001063851794/76.94989%2C43.255005
DAMI;+7‒705‒101‒53‒53;almaty;улица Розыбакиева, 153а;https://www.instagram.com/dami_cafealmaty/;https://api.whatsapp.com/send/?phone=77051015353&text=%D0%97%D0%B4%D1%80%D0%B0%D0%B2%D1%81%D1%82%D0%B2%D1%83%D0%B9%D1%82%D0%B5%21%0A%0A%D0%9F%D0%B8%D1%88%D1%83+%D0%B8%D0%B7+%D0%BF%D1%80%D0%B8%D0%BB%D0%BE%D0%B6%D0%B5%D0%BD%D0%B8%D1%8F+2%D0%93%D0%98%D0%A1.%0A%0A&type=phone_number&app_absent=0;;https://2gis.kz/almaty/search/%D0%BA%D0%B0%D1%84%D0%B5/page/2/firm/70000001057795375/76.891746%2C43.220577
ELIXIR;+7‒747‒500‒03‒57;almaty;12-й микрорайон, 24;https://www.instagram.com/elixir_altynsarina/;https://api.whatsapp.com/send/?phone=77475000356&text=%D0%97%D0%B4%D1%80%D0%B0%D0%B2%D1%81%D1%82%D0%B2%D1%83%D0%B9%D1%82%D0%B5%21%0A%0A%D0%9F%D0%B8%D1%88%D1%83+%D0%B8%D0%B7+%D0%BF%D1%80%D0%B8%D0%BB%D0%BE%D0%B6%D0%B5%D0%BD%D0%B8%D1%8F+2%D0%93%D0%98%D0%A1.%0A%0A&type=phone_number&app_absent=0;;https://2gis.kz/almaty/search/%D0%BA%D0%B0%D1%84%D0%B5/page/2/firm/70000001057054984/76.86641%2C43.223291
ИЗУМИ;+7‒705‒304‒08‒01;almaty;улица Рыскулбекова, 22;https://www.instagram.com/izumi.kz/;https://api.whatsapp.com/send/?phone=77053040801&text=%D0%97%D0%B4%D1%80%D0%B0%D0%B2%D1%81%D1%82%D0%B2%D1%83%D0%B9%D1%82%D0%B5%21%0A%0A%D0%9F%D0%B8%D1%88%D1%83+%D0%B8%D0%B7+%D0%BF%D1%80%D0%B8%D0%BB%D0%BE%D0%B6%D0%B5%D0%BD%D0%B8%D1%8F+2%D0%93%D0%98%D0%A1.%0A%0A&type=phone_number&app_absent=0;izumikz2018@gmail.com;https://2gis.kz/almaty/search/%D0%BA%D0%B0%D1%84%D0%B5/page/3/firm/70000001029405784/76.878744%2C43.206149
TURAN;+7‒700‒631‒16‒77;almaty;улица Рабат, 18;;;;https://2gis.kz/almaty/search/%D0%BA%D0%B0%D1%84%D0%B5/page/3/firm/70000001035135116/76.839596%2C43.212018
BEREKET;+7‒701‒557‒77‒76;almaty;микрорайон Самал-2, 98;https://www.instagram.com/bereket.almaty/;https://api.whatsapp.com/send/?phone=77015577776&text=%D0%97%D0%B4%D1%80%D0%B0%D0%B2%D1%81%D1%82%D0%B2%D1%83%D0%B9%D1%82%D0%B5%21%0A%0A%D0%9F%D0%B8%D1%88%D1%83+%D0%B8%D0%B7+%D0%BF%D1%80%D0%B8%D0%BB%D0%BE%D0%B6%D0%B5%D0%BD%D0%B8%D1%8F+2%D0%93%D0%98%D0%A1.%0A%0A&type=phone_number&app_absent=0;bereketkafekzalmaty@gmail.com;https://2gis.kz/almaty/search/%D0%BA%D0%B0%D1%84%D0%B5/page/3/firm/70000001026128849/76.953547%2C43.232694
ШАШЛЫЧНЫЙ ДВОР;+7‒707‒583‒90‒69;almaty;улица Шемякина, 274;;https://api.whatsapp.com/send/?phone=77075839069&text=%D0%97%D0%B4%D1%80%D0%B0%D0%B2%D1%81%D1%82%D0%B2%D1%83%D0%B9%D1%82%D0%B5%21%0A%0A%D0%9F%D0%B8%D1%88%D1%83+%D0%B8%D0%B7+%D0%BF%D1%80%D0%B8%D0%BB%D0%BE%D0%B6%D0%B5%D0%BD%D0%B8%D1%8F+2%D0%93%D0%98%D0%A1.%0A%0A&type=phone_number&app_absent=0;;https://2gis.kz/almaty/search/%D0%BA%D0%B0%D1%84%D0%B5/page/3/firm/70000001037156569/76.96708%2C43.31126
МЯТА НА АЛТЫНСАРИНА;+7‒701‒735‒55‒88;almaty;12-й микрорайон, 24;https://www.instagram.com/myata_altynsarina/;;redalmaty@mail.ru;https://2gis.kz/almaty/search/%D0%BA%D0%B0%D1%84%D0%B5/page/3/firm/70000001034522943/76.86641%2C43.223291
МЯТА НА ЖАНДОСОВА;+7‒705‒555‒46‒46;almaty;улица Умбетбаева, 183;https://www.instagram.com/myata_zhandosova/;https://api.whatsapp.com/send/?phone=77055554646&text=%D0%97%D0%B4%D1%80%D0%B0%D0%B2%D1%81%D1%82%D0%B2%D1%83%D0%B9%D1%82%D0%B5%21%0A%0A%D0%9F%D0%B8%D1%88%D1%83+%D0%B8%D0%B7+%D0%BF%D1%80%D0%B8%D0%BB%D0%BE%D0%B6%D0%B5%D0%BD%D0%B8%D1%8F+2%D0%93%D0%98%D0%A1.%0A%0A&type=phone_number&app_absent=0;;https://2gis.kz/almaty/search/%D0%BA%D0%B0%D1%84%D0%B5/page/3/firm/70000001028942630/76.89679%2C43.23108
QR RESTOBAR;+7‒775‒416‒87‒50,+7‒701‒805‒11‒11;almaty;улица Каратоган, 3;https://www.instagram.com/qr_restobar/;https://api.whatsapp.com/send/?phone=77754168750&text=%D0%97%D0%B4%D1%80%D0%B0%D0%B2%D1%81%D1%82%D0%B2%D1%83%D0%B9%D1%82%D0%B5%21%0A%0A%D0%9F%D0%B8%D1%88%D1%83+%D0%B8%D0%B7+%D0%BF%D1%80%D0%B8%D0%BB%D0%BE%D0%B6%D0%B5%D0%BD%D0%B8%D1%8F+2%D0%93%D0%98%D0%A1.%0A%0A&type=phone_number&app_absent=0;;https://2gis.kz/almaty/search/%D0%BA%D0%B0%D1%84%D0%B5/page/3/firm/70000001052024319/76.825423%2C43.247302
МУЛАН;+7‒747‒757‒58‒87;almaty;микрорайон Алмагуль, 39;https://www.instagram.com/mulan_hogo_centr/;https://api.whatsapp.com/send/?phone=77479525277&text=%D0%97%D0%B4%D1%80%D0%B0%D0%B2%D1%81%D1%82%D0%B2%D1%83%D0%B9%D1%82%D0%B5%21%0A%0A%D0%9F%D0%B8%D1%88%D1%83+%D0%B8%D0%B7+%D0%BF%D1%80%D0%B8%D0%BB%D0%BE%D0%B6%D0%B5%D0%BD%D0%B8%D1%8F+2%D0%93%D0%98%D0%A1.%0A%0A&type=phone_number&app_absent=0;mulanhogo@mail.ru;https://2gis.kz/almaty/search/%D0%BA%D0%B0%D1%84%D0%B5/page/3/firm/70000001057240315/76.903713%2C43.204156
BEER GARDEN;;almaty;улица Муратбаева, 195;https://www.instagram.com/beer_garden_almaty/;;beergardenpub.kz@gmail.com;https://2gis.kz/almaty/search/%D0%BA%D0%B0%D1%84%D0%B5/page/3/firm/70000001029883529/76.919253%2C43.247262
MASISSO;+7‒777‒206‒01‒01,+7 (727) 273‒24‒57;almaty;проспект Назарбаева, 57;https://www.instagram.com/masisso_korean_bbq/;https://api.whatsapp.com/send/?phone=77772060101&text=%D0%97%D0%B4%D1%80%D0%B0%D0%B2%D1%81%D1%82%D0%B2%D1%83%D0%B9%D1%82%D0%B5%21%0A%0A%D0%9F%D0%B8%D1%88%D1%83+%D0%B8%D0%B7+%D0%BF%D1%80%D0%B8%D0%BB%D0%BE%D0%B6%D0%B5%D0%BD%D0%B8%D1%8F+2%D0%93%D0%98%D0%A1.%0A%0A&type=phone_number&app_absent=0;masisso_na_furmanova@mail.ru;https://2gis.kz/almaty/search/%D0%BA%D0%B0%D1%84%D0%B5/page/3/firm/9429940001695220/76.945203%2C43.264324
